SITE_ID,PROD_DEF_ID,PROC_DEF_ID,PROC_SGMT_ID,EQP_ID,LOT_ID,PROD_MTRL_ID,SUB_PROD_MTRL_ID,MTRL_FACE_CD,INSP_REPT_CNT,STRIP_NO,X_VAL,Y_VAL,POS_X_VAL,POS_Y_VAL,POS_Z_VAL,DCITEM_ID,RSLT_VAL,INSP_DT,IMG_FILE_NM,INSP_FILE_NM,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098030401,TOP,1,03,04,01,206.25076,156.60499,,W, 0.0406,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098030401,TOP,1,03,04,01,206.25076,156.78,,W, 0.0408,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098030401,TOP,1,03,04,01,206.25076,156.692495,,S, 0.0408,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098030401,TOP,1,03,04,01,206.25076,156.8675,,S, 0.0394,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098030103,TOP,1,03,01,03,55.35076,26.00499,,W, 0.0408,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098030103,TOP,1,03,01,03,55.35076,26.18,,W, 0.0409,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098030103,TOP,1,03,01,03,55.35076,26.092495,,S, 0.0409,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098030103,TOP,1,03,01,03,55.35076,26.2675,,S, 0.0391,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098010101,TOP,1,01,01,01,55.35076,398.70499,,W, 0.0410,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098010101,TOP,1,01,01,01,55.35076,398.88,,W, 0.0411,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098010101,TOP,1,01,01,01,55.35076,398.792495,,S, 0.0411,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098010101,TOP,1,01,01,01,55.35076,398.9675,,S, 0.0388,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098040403,TOP,1,04,04,03,453.75076,26.00499,,W, 0.0402,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098040403,TOP,1,04,04,03,453.75076,26.18,,W, 0.0407,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098040403,TOP,1,04,04,03,453.75076,26.092495,,S, 0.0407,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098040403,TOP,1,04,04,03,453.75076,26.2675,,S, 0.0398,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098020401,TOP,1,02,04,01,453.75076,398.70499,,W, 0.0410,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098020401,TOP,1,02,04,01,453.75076,398.88,,W, 0.0409,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098020401,TOP,1,02,04,01,453.75076,398.792495,,S, 0.0409,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098020401,TOP,1,02,04,01,453.75076,398.9675,,S, 0.0394,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098020202,TOP,1,02,02,02,353.15076,333.40499,,W, 0.0410,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098020202,TOP,1,02,02,02,353.15076,333.58,,W, 0.0409,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098020202,TOP,1,02,02,02,353.15076,333.492495,,S, 0.0409,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
SVM,SE24-04-001,R00032D006,P71501,AM-RE-02-01,A24700020,FS24600098,FS24600098020202,TOP,1,02,02,02,353.15076,333.6675,,S, 0.0391,20240719191128,,D:\ZIP635\1. Run\LOG\RESULT\PASS\2024\07\19\191128_MEASURE.txt,
